MSN,YYYYMM,Value,Column_Order,Description,Unit
NGEIUUS,201205,3.05,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201205,96,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201206,2.54,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201206,4.63,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201206,14.18,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201206,95.5,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201206,8.44,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201206,59.1,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201206,3.34,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201206,15.6,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201206,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201206,3.21,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201206,95.8,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201207,2.59,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201207,4.88,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201207,15.13,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201207,95.5,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201207,8.52,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201207,57.9,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201207,3.6,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201207,16.1,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201207,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201207,3.54,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201207,95.8,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201208,2.86,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201208,5.13,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201208,15.82,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201208,94.9,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201208,8.71,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201208,55.9,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201208,3.83,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201208,16.6,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201208,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201208,3.61,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201208,95.2,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201209,2.71,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201209,4.76,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201209,14.72,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201209,95,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201209,8.35,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201209,56.4,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201209,3.56,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201209,16.5,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201209,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201209,3.54,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201209,96,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201210,3.03,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201210,4.65,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201210,11.68,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201210,95.1,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201210,8.07,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201210,59.9,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201210,3.94,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201210,16.3,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201210,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201210,4,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201210,95.9,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201211,3.35,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201211,4.79,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201211,9.99,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201211,95.3,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201211,7.99,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201211,65.3,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201211,4.46,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201211,16.9,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201211,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201211,4.43,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201211,94.3,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201212,3.35,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201212,4.79,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201212,9.8,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201212,95.7,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201212,8.18,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201212,67.6,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201212,4.73,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201212,17,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201212,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201212,4.35,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201212,94.4,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201213,2.66,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201213,4.73,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201213,10.65,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201213,95.8,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201213,8.1,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201213,65.2,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201213,3.88,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201213,16.2,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201213,8.04,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201213,3.54,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201213,95.5,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201301,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201301,4.52,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201301,9.15,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201301,96.1,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201301,7.75,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201301,70.2,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201301,4.58,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201301,17,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201301,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201301,4.56,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201301,95,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201302,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201302,4.56,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201302,9.23,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201302,95.7,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201302,7.78,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201302,69.7,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201302,4.54,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201302,17,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201302,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201302,4.59,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201302,94.1,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201303,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201303,4.75,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201303,9.35,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201303,95.6,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201303,7.77,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201303,68.8,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201303,4.59,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201303,16.8,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201303,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201303,4.5,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201303,94.7,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201304,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201304,5.16,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201304,10.43,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201304,95.3,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201304,8.15,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201304,66.1,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201304,4.95,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201304,16.8,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201304,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201304,4.84,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201304,95.2,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201305,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201305,5.55,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201305,12.61,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201305,95.6,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201305,8.71,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201305,62.6,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201305,5,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201305,16.2,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201305,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201305,4.79,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201305,95.5,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201306,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201306,5.74,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201306,15.02,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201306,95.5,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201306,9.07,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201306,58.4,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201306,4.9,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201306,16,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201306,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201306,4.56,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201306,95,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201307,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201307,5.51,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201307,16.3,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201307,95.6,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201307,9.04,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
